corpus_id,name,holding_institution,digitized_items,scope,impact_ceiling,description_gap,historical_value,network_value,novelty_potential,feasibility,evidentiary_tractability,comparison_material,rights_clarity,saturation_penalty,source_url,notes
BAV-ARCHCAPSP,Archivio del Capitolo di San Pietro,Biblioteca Apostolica Vaticana,471,institutional and documentary records,5,4,5,5,4,2,4,3,2,2,https://digi.vatlib.it/mss/Arch.Cap.S.Pietro,"High impact ceiling because documentary records may bear directly on decisions and events; requires item-level reconnaissance."
BAV-BARBLAT,Barberiniani latini,Biblioteca Apostolica Vaticana,2398,large early-modern manuscript and archival collection,5,3,5,5,4,3,5,5,2,4,https://digi.vatlib.it/mss/Barb.lat,"Major corpus with rich comparison material; famous areas are saturated but the collection is large."
BAV-BORGMESS,Borgiani messicani,Biblioteca Apostolica Vaticana,2,Mesoamerican manuscripts,5,2,5,4,2,2,4,5,2,5,https://digi.vatlib.it/mss/Borg.mess,"Historically important but heavily studied; useful as a control, not a presumed discovery target."
BAV-BORGPERS,Borgiani persiani,Biblioteca Apostolica Vaticana,7,Persian manuscripts,4,4,4,4,4,2,3,3,2,3,https://digi.vatlib.it/mss/Borg.pers,"Small collection with possible high-value material; significance cannot be judged before specialist review."
BAV-CERULLIPERS,Cerulli persiani,Biblioteca Apostolica Vaticana,24,Persian manuscripts,4,4,4,4,4,2,3,3,2,3,https://digi.vatlib.it/mss/Cerulli.pers,"Conduct item-level bibliography and script survey before assigning thematic priority."
BAV-CHIG,Chigiani,Biblioteca Apostolica Vaticana,641,large manuscript and archival collection,5,3,5,5,4,3,5,4,2,3,https://digi.vatlib.it/mss/Chig,"Strong potential for consequential correspondence, drafts, attribution, and network analysis."
BAV-OTT_LAT,Ottoboniani latini,Biblioteca Apostolica Vaticana,2274,large Latin manuscript collection,5,4,4,4,4,3,4,4,2,3,https://digi.vatlib.it/mss/Ott.lat,"Large discovery surface; prioritize sparse descriptions, marginalia, variants, and mixed hands."
BAV-REG_LAT,Reginensi latini,Biblioteca Apostolica Vaticana,2056,large Latin manuscript collection,5,3,4,4,3,3,4,5,2,4,https://digi.vatlib.it/mss/Reg.lat,"High ceiling for textual transmission and provenance, with saturation risk around famous manuscripts."
BAV-URB_LAT,Urbinati latini,Biblioteca Apostolica Vaticana,1595,large Latin manuscript collection,5,3,5,5,3,3,5,5,2,4,https://digi.vatlib.it/mss/Urb.lat,"Potentially important variants, drafts, technical texts, and annotations; avoid assuming a subject focus."
BAV-VAT_LAT,Vaticani latini,Biblioteca Apostolica Vaticana,10353,largest Latin manuscript collection,5,4,5,5,5,3,5,5,2,5,https://digi.vatlib.it/mss/Vat.lat,"Largest impact and discovery surface but impossible as a first corpus without automated metadata triage."
